,Annualized_Return,Volatility,Sharpe_Ratio,Max_Drawdown,Skewness,Kurtosis,Sortino_Ratio,VaR_95
AAPL,0.3653205323918292,0.30848001078520754,1.1842599832058465,-0.3142724372648692,-0.010368971069959614,5.508469732230637,1.6406683120452272,-0.029475647853886688
MSFT,0.29195413812089754,0.2900436610497449,1.0065868602824766,-0.37148475623549765,-0.042462101176659245,7.452843313682374,1.3816494324016295,-0.02796036922051017
GOOGL,0.26468889321889427,0.31212565530895925,0.8480203043767439,-0.4432004195816408,-0.03206209960381407,4.133547404228839,1.1729380553023958,-0.029755101460793274
AMZN,0.2347925615255303,0.3413865629215604,0.68776157888639,-0.5614526325328265,0.06491118562990493,4.339050885385806,0.9943412337121733,-0.03210300779303185
TSLA,0.7097741619564082,0.6448482460668353,1.1006840233893473,-0.7363221744219124,0.2012977968118048,3.5242719302136147,1.6293532854218484,-0.06046723485520242
META,0.3381643760467374,0.42526090754392276,0.7951927159253648,-0.7673609057246626,-0.2707657268662249,19.119876901529448,1.0353047319808504,-0.038494923248428944
NVDA,0.7536798209634546,0.5189316476203725,1.4523681961189878,-0.663350799448897,0.35630132636610534,4.203231090958045,2.2856955968319315,-0.047235093889890355
JPM,0.22314162572334054,0.3066203851838481,0.7277455658714469,-0.4362651226594411,0.43949129834967365,13.921313682984154,0.9888436586320063,-0.02749805014866507
V,0.18643302111960477,0.2651027585723922,0.7032481371509196,-0.36364912590532783,0.22704970622141996,10.867912786298053,0.9321316930974393,-0.025260252337535302
JNJ,0.06537513915586096,0.19154122109671212,0.34131107017873735,-0.2736626136789051,0.25192844037482176,8.269175365759596,0.47059252462106604,-0.01645220766533898
AMD,0.4512945872390013,0.5278716497594892,0.8549324204939246,-0.6544994295506879,0.3723972916902115,2.9923471304528015,1.3412798838162594,-0.050145475540704074
INTC,-0.03292470254682259,0.4119262302066212,-0.07992863802411329,-0.6957316033105471,-0.8489411519946819,13.057744050465297,-0.09923167637767566,-0.03684974479939123
CRM,0.22460777888768851,0.3801418804259215,0.5908524960102574,-0.5861723897512823,0.37132587083530627,15.266054753533963,0.8096162081612823,-0.034592568589102986
ADBE,0.18291587021796257,0.3680758075517789,0.49695162372830215,-0.6002149800846832,-0.4294085070758713,8.916811027454557,0.6267070793360495,-0.034330849388770235
ORCL,0.2816576551772688,0.3103856979725192,0.9074440511179935,-0.40364811075370954,1.0628351145409298,18.334439403894947,1.2653455584363897,-0.025681062408081063
IBM,0.19588680777547143,0.2576133848917717,0.7603906445224777,-0.38980107249726703,-0.4003663797946444,10.252719408433695,0.9484704290703074,-0.020647891235227478
CSCO,0.12055899243383468,0.2683421576813782,0.4492733958597105,-0.4195110916850912,-0.530316805310395,12.41727105966857,0.5538208563837601,-0.022923658733057226
QCOM,0.2744670384847861,0.4122955667003103,0.6657045591865189,-0.44288421047757226,0.5882837070968789,7.86538511076593,0.9969946800925863,-0.03618243496196911
TXN,0.18976312666827064,0.3063846678559985,0.6193623460213739,-0.29850722952296893,0.11875295543873968,4.110298373951663,0.9247232836513236,-0.028772873876078412
AVGO,0.48271943179124766,0.4010721009296513,1.2035727009491428,-0.48299960321459817,0.4764802172053851,11.97759173517393,1.7416010967809374,-0.03482019680984645
BAC,0.1764100636479535,0.33977072146174364,0.5192032523844652,-0.4894679310844981,0.44625739696035693,10.94664866403048,0.7418354471238893,-0.030144525620110038
WFC,0.16358374594309455,0.36611076560969036,0.44681490223505393,-0.5980649454081369,0.10739297966883847,7.177332511173464,0.6176496466532819,-0.03324134953556585
C,0.15131682315787265,0.3710625657039346,0.4077932864793646,-0.565075856619126,0.04989932728227519,12.125447979890897,0.5531721653115577,-0.030868315459841988
GS,0.2753070385666901,0.31722579979516974,0.8678582849959042,-0.4562099306124466,0.359890416716125,10.867780700636997,1.2235041067265948,-0.02678151109982722
MS,0.2789256355486869,0.33967132994921884,0.8211633156981089,-0.5132583927190024,0.6109246472169354,14.217696660469374,1.1645049397641445,-0.029889634533818203
PFE,0.002640242961323467,0.26249837059918163,0.01005813085733378,-0.5481802625696537,0.3014967028711735,4.181334460706603,0.015233575160757122,-0.02392149419386946
MRK,0.10789396707784486,0.2275262081250664,0.4742045673197252,-0.27261468769045477,-0.28621622195994717,7.281909959086857,0.6294595142401778,-0.02058781381645685
ABBV,0.19098616285153744,0.2517505501796415,0.7586325539914632,-0.3404234780251872,-1.4583354849610928,15.838939493982844,0.8873278240541866,-0.021616096170836385
UNH,0.18054820902475888,0.29152467853557257,0.6193239280177371,-0.35899887593406926,-0.11109724853915777,12.006137419037046,0.8150313289392299,-0.025359201619950207
CVS,0.008503548232256537,0.2968216980080817,0.028648674572385898,-0.567888311420301,-0.6857817891495395,10.434461842095295,0.03624113840514324,-0.02606967570384386
WMT,0.21744525610506493,0.2142667214654838,1.0148344764779218,-0.2573968286149641,0.0988529296636973,14.867217042606084,1.3307582046777904,-0.01812939608391124
COST,0.2938310699442336,0.22999348309467782,1.2775625899942422,-0.3140241703996731,-0.10129931891191912,8.94943547446409,1.727984448897516,-0.020621488800010922
HD,0.19881511498922144,0.27376065818446704,0.7262369849186097,-0.37993698295407646,-1.0102486389783645,18.0094593350107,0.8879827335067945,-0.024591683574884234
MCD,0.13124495087910074,0.22249922804677916,0.5898669942868622,-0.36898586237300285,0.37493163154838255,35.14429543776983,0.7474656821992837,-0.01754930300099275
NKE,0.06714375321393945,0.32869814304980793,0.2042717752858284,-0.5861649974084866,-0.3700776507930366,13.909821319644879,0.2634157239820436,-0.02873505651898182
SBUX,0.12887141476668182,0.3200706797193469,0.4026342396613222,-0.4368292151783573,1.0654097737466977,24.33123201646807,0.560608902544981,-0.025735419100086327
TGT,0.20686385592498902,0.3547770692134795,0.5830812470027851,-0.5886996942555172,-0.39751097700900273,27.04622926109267,0.7434868498285576,-0.02802400734909789
LOW,0.23379843239067458,0.31628121591121616,0.7392106158346897,-0.48629222201737926,-1.3239423294759909,21.84461748907764,0.8824544087262883,-0.028050967551068784
KO,0.09830173496950076,0.2021674538301103,0.4862391700897009,-0.36987537577314233,-0.7231953828771753,9.461092686858414,0.5914640454309422,-0.017073821804569723
PEP,0.1056375397443396,0.20895697135088548,0.5055468552276754,-0.2881708103050887,-0.15605086234919963,21.58344458051564,0.6293498761163708,-0.01730722686635576
XOM,0.17006894460497435,0.32255372710463354,0.5272577258107624,-0.6034736861754662,0.05963525337520972,5.202652783098165,0.7641714970800134,-0.030051251120202342
CVX,0.14270571425128797,0.3332802391715885,0.4281853451797851,-0.557739279481829,-0.26418299894181,23.781025741016613,0.5394474576380843,-0.027102810551190657
COP,0.19388229764104886,0.4185469994181577,0.4632270638914482,-0.6711225408119319,0.057242713110941174,14.704874657829373,0.6361733502834874,-0.035359360587437653
EOG,0.19260303246600594,0.4501236444507756,0.4278891696547359,-0.7190486824988688,-0.6384043946929896,14.066570232027482,0.5782979700440639,-0.038943729161061404
SLB,0.14095647673322767,0.4680954627117444,0.3011276287888938,-0.7305930323754305,-0.271122689981851,9.11098197848408,0.4132131525173767,-0.042794407236553964
BA,0.019389510939079705,0.48117683910461023,0.04029601876757067,-0.779200546522109,0.23768998364698093,12.602546937464991,0.05460744381701266,-0.04223672606166923
CAT,0.24956461089531573,0.3163869059432324,0.7887956366313522,-0.385542506308776,-0.1667753308977076,4.502475623152291,1.1046325429983097,-0.030158423127421643
GE,0.3289491575138118,0.3964222401337613,0.8297949111099755,-0.5824125304368429,0.08125574362301623,5.195954680863817,1.1792286124692066,-0.03454545122060128
HON,0.144476447894509,0.25807240879476406,0.5598291137329836,-0.4301034319830757,0.11057096213487459,11.63133067049153,0.7357470821906026,-0.023787091081266844
LMT,0.15801748633660692,0.24764672289085846,0.63807622605306,-0.3667429198237335,-0.2689730657804205,14.464730789377894,0.804201111309028,-0.019357410730164663
NEE,0.15171870407111893,0.28367464622851823,0.5348335005903196,-0.44969719456766233,-0.201677894801181,8.702722066615962,0.690552479739637,-0.02513933393478062
DUK,0.10786037400075758,0.230794307371621,0.4673441699195929,-0.37371849609945706,0.16221781762999224,14.024295298492055,0.6174634375844105,-0.019829548206308778
SO,0.17744082281910264,0.24933919529938606,0.7116443229314439,-0.38434860513138563,0.8622401721978062,24.319371821757503,0.9297195605136208,-0.019629783175676596
D,0.03237438599128658,0.265020152924153,0.12215820432550997,-0.5219993271807614,0.07873848397620888,16.624721850918196,0.15552131872820565,-0.023235132865807723
AEP,0.10164157746929804,0.23310269937058306,0.43603775393312727,-0.3290521020308005,-0.02874165471234779,10.68554090956931,0.5713884851746666,-0.020946713442416075
PLD,0.17289120006096495,0.29713322723253266,0.5818642420817599,-0.42058680190934616,-0.392283324609127,9.337514478101697,0.7588857311978218,-0.02736366740370037
AMT,0.09150366462810249,0.2891535274998917,0.31645356506375927,-0.45344206890189726,0.15661197036466648,7.952979360879757,0.45003215091953663,-0.02685566176757314
CCI,0.053053132162376435,0.2811160240546743,0.18872325880668447,-0.5547697941057226,0.058629784174875195,5.782904977522772,0.26648685863453686,-0.02638281456986156
SPG,0.16192513642696144,0.44545401401996276,0.36350584197385827,-0.7494987759645821,0.11273765748520306,23.69973609005198,0.4505803272332238,-0.034662747987970005
EQIX,0.2256863855817369,0.2943171210662075,0.7668136490468324,-0.41767998552727403,0.3377462491073843,5.553196250220758,1.1546108110865245,-0.02856385609568181
