,UMAP1,UMAP2,Cluster,Anomaly_Score
AAPL,7.321413,7.5728717,3,0.9374366901938126
MSFT,6.8891068,7.7492104,3,0.36690125112858984
GOOGL,7.11189,7.9990916,3,0.14228009327630356
AMZN,8.465697,9.0061455,0,0.9085208952558943
TSLA,8.679001,8.319227,0,0.4174359196979806
META,9.354183,9.780806,2,1.0875070849217123
NVDA,8.447743,8.05707,0,1.5467473236920124
JPM,7.2192445,8.815891,3,0.5285005840996151
V,6.4018297,9.20237,-1,0.3158762784426099
JNJ,5.9550495,11.382281,5,0.44610890247694324
AMD,8.618858,8.442935,0,0.3717098799140103
INTC,9.069956,11.033886,-1,2.1990235439851733
CRM,8.729501,9.612517,2,0.4313395387575568
ADBE,8.848826,10.421424,2,0.1298095464069468
ORCL,7.4019966,9.074479,3,0.04853860163987634
IBM,5.9427466,10.20687,6,0.39744103248792423
CSCO,6.549282,10.657778,6,0.6016038041536477
QCOM,8.179267,8.982567,0,0.9793493425296206
TXN,6.543671,8.291513,3,0.8765355986647272
AVGO,7.8808217,7.989002,0,0.7478271227148598
BAC,8.221001,9.583563,2,0.20126291265827198
WFC,8.835751,9.9861555,2,0.031187096978323975
C,8.555058,10.418126,2,0.1564914441519183
GS,7.4260163,8.365165,3,0.07857731822235486
MS,7.63634,8.704823,3,0.22852197148285425
PFE,7.7585926,11.422536,1,0.4334867205875258
MRK,5.723302,11.131361,5,0.019367657134237888
ABBV,5.373358,10.524818,6,0.3917955362163166
UNH,6.3192086,10.032229,6,0.05554566417319062
CVS,8.430285,11.355387,1,0.3737896552891179
WMT,6.029419,8.721224,-1,1.3164274366013429
COST,7.0615196,7.3689375,3,1.2370455609902484
HD,5.5801497,10.286532,6,0.287768433407301
MCD,6.82416,9.8404875,4,0.07006244498659846
NKE,8.606532,11.16751,1,0.19016285045231324
SBUX,7.2423944,9.70168,4,0.531170426423818
TGT,8.18906,10.394318,2,0.4063848754319414
LOW,5.379302,10.132036,6,0.3294287368296049
KO,5.775992,10.941978,5,0.019277283993436204
PEP,6.104783,10.8706,5,0.08127719954779053
XOM,8.394986,9.91403,2,0.22712705269870792
CVX,7.974125,10.6600065,2,0.0910094400498903
COP,9.323854,9.995989,2,0.02151485198600455
EOG,9.593954,10.016465,2,0.09196050473791978
SLB,9.686954,10.317977,2,0.4990111052143335
BA,9.559454,10.673259,2,1.3365811028429992
CAT,6.6254234,8.0242405,3,0.3324595152375107
GE,8.193792,8.498553,0,0.45243024840532775
HON,6.93251,10.55404,6,0.24659256778784505
LMT,6.0525646,10.670408,5,0.506849179872075
NEE,6.960157,10.841378,6,0.32685728585218016
DUK,6.5501537,11.192294,-1,0.44164726426903606
SO,6.9943805,9.487395,4,0.46110798143721965
D,8.014332,11.217922,1,0.07351632335983597
AEP,6.207695,11.292009,5,0.14192710380212148
PLD,6.589496,10.299879,6,0.17583441697428712
AMT,7.3185024,11.299581,1,0.5503956511876219
CCI,7.713753,11.534079,1,0.14023419759654465
SPG,9.297623,10.32504,2,0.29870516888575765
EQIX,7.040785,8.16289,3,0.4030470229691637
