,UMAP1,UMAP2,Cluster,Anomaly_Score
AAPL,12.250903,-12.303406,-1,0.9609682688006514
MSFT,11.806237,-11.751729,-1,0.39096947046438957
GOOGL,12.532759,-11.494135,-1,0.11772964040371983
AMZN,11.82152,-10.269516,-1,0.6318598129152209
TSLA,11.191929,-10.7584305,-1,0.6928456883424559
META,12.274031,-10.728505,-1,0.28720713434311124
NVDA,10.684576,-11.230011,-1,1.8210917394854718
JPM,11.0038,-12.142513,-1,0.5035868805002551
V,10.507893,-12.587551,-1,0.5821763051762731
JNJ,11.104861,-13.021525,-1,1.743315393754388
